"Movie Name","DateTime","Date","Day","Time","Screen","Cinema Name","CinemaDisplay"
"Играта на играчките 5","2026-06-29T11:00:00","29.6.2026","Monday","11:00","Зала3","Cinema City - Mall Of Sofia","CinemaCity"
"Супер Марио Галактика: Филмът","2026-06-29T11:30:00","29.6.2026","Monday","11:30","Зала2","Cinema City - Mall Of Sofia","CinemaCity"
"Супергърл","2026-06-29T11:50:00","29.6.2026","Monday","11:50","Зала7","Cinema City - Mall Of Sofia","CinemaCity"
"Момчето делфин 2: Пазителят на морето","2026-06-29T12:00:00","29.6.2026","Monday","12:00","Зала1","Cinema City - Mall Of Sofia","CinemaCity"
"Хопъри","2026-06-29T12:30:00","29.6.2026","Monday","12:30","Зала5","Cinema City - Mall Of Sofia","CinemaCity"
"Играта на играчките 5","2026-06-29T12:45:00","29.6.2026","Monday","12:45","Зала6","Cinema City - Mall Of Sofia","CinemaCity"
"Денят на истината","2026-06-29T12:50:00","29.6.2026","Monday","12:50","Зала4","Cinema City - Mall Of Sofia","CinemaCity"
"Супергърл","2026-06-29T01:00:00","29.6.2026","Monday","13:00","IMAX","Cinema City - Mall Of Sofia","CinemaCity"
"Обсебване","2026-06-29T01:20:00","29.6.2026","Monday","13:20","Зала3","Cinema City - Mall Of Sofia","CinemaCity"
"Играта на играчките 5","2026-06-29T01:45:00","29.6.2026","Monday","13:45","Зала8","Cinema City - Mall Of Sofia","CinemaCity"
"Хайди - Спасяването на риса","2026-06-29T02:00:00","29.6.2026","Monday","14:00","Зала2","Cinema City - Mall Of Sofia","CinemaCity"
"Супергърл","2026-06-29T02:10:00","29.6.2026","Monday","14:10","Зала7","Cinema City - Mall Of Sofia","CinemaCity"
"Овце детективи","2026-06-29T02:10:00","29.6.2026","Monday","14:10","Зала1","Cinema City - Mall Of Sofia","CinemaCity"
"Майкъл","2026-06-29T02:40:00","29.6.2026","Monday","14:40","Зала10","Cinema City - Mall Of Sofia","CinemaCity"
"Котки в музея 2: Съкровищата на Египет","2026-06-29T02:40:00","29.6.2026","Monday","14:40","Зала11","Cinema City - Mall Of Sofia","CinemaCity"
"Backrooms","2026-06-29T02:50:00","29.6.2026","Monday","14:50","Зала5","Cinema City - Mall Of Sofia","CinemaCity"
"Господари на вселената","2026-06-29T02:50:00","29.6.2026","Monday","14:50","Зала9","Cinema City - Mall Of Sofia","CinemaCity"
"Играта на играчките 5","2026-06-29T03:00:00","29.6.2026","Monday","15:00","Зала6","Cinema City - Mall Of Sofia","CinemaCity"
"Супергърл","2026-06-29T03:20:00","29.6.2026","Monday","15:20","IMAX","Cinema City - Mall Of Sofia","CinemaCity"
"Страшен филм","2026-06-29T03:20:00","29.6.2026","Monday","15:20","Зала12","Cinema City - Mall Of Sofia","CinemaCity"
"Обсебване","2026-06-29T03:40:00","29.6.2026","Monday","15:40","Зала3","Cinema City - Mall Of Sofia","CinemaCity"
"Денят на истината","2026-06-29T03:50:00","29.6.2026","Monday","15:50","Зала4","Cinema City - Mall Of Sofia","CinemaCity"
"Дяволът носи Прада 2","2026-06-29T04:00:00","29.6.2026","Monday","16:00","Зала2","Cinema City - Mall Of Sofia","CinemaCity"
"Играта на играчките 5","2026-06-29T04:00:00","29.6.2026","Monday","16:00","Зала8","Cinema City - Mall Of Sofia","CinemaCity"
"Супергърл","2026-06-29T04:30:00","29.6.2026","Monday","16:30","Зала7","Cinema City - Mall Of Sofia","CinemaCity"
"Обсебване","2026-06-29T04:40:00","29.6.2026","Monday","16:40","Зала1","Cinema City - Mall Of Sofia","CinemaCity"
"Котки в музея 2: Съкровищата на Египет","2026-06-29T04:50:00","29.6.2026","Monday","16:50","Зала11","Cinema City - Mall Of Sofia","CinemaCity"
"Backrooms","2026-06-29T05:10:00","29.6.2026","Monday","17:10","Зала5","Cinema City - Mall Of Sofia","CinemaCity"
"Играта на играчките 5","2026-06-29T05:15:00","29.6.2026","Monday","17:15","Зала6","Cinema City - Mall Of Sofia","CinemaCity"
"Междузвездни войни: Мандалореца и Грогу","2026-06-29T05:20:00","29.6.2026","Monday","17:20","Зала10","Cinema City - Mall Of Sofia","CinemaCity"
"Денят на истината","2026-06-29T05:30:00","29.6.2026","Monday","17:30","Зала12","Cinema City - Mall Of Sofia","CinemaCity"
"Супергърл","2026-06-29T05:40:00","29.6.2026","Monday","17:40","IMAX","Cinema City - Mall Of Sofia","CinemaCity"
