"Movie Name","Available Dates","Available Cinemas"
"ANDRÉ RIEU'S 2026 SUMMER CONCERT: VIVA MAASTRICHT!","30.8.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall"
"BLUE LOCK: ФИЛМЪТ","4.9.2026; 5.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall"
"Katy Perry: The Lifetimes Tour – Live From Paris","2.9.2026; 5.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center"
"Блу Лок","4.9.2026; 5.9.2026; 6.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center"
"Бунтовникът","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Диво сърце","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Дяволът носи Прада 2","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","Cinema City - Mall Of Sofia"
"Играта на играчките 5","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Искам те за секс","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Капитан Саблезъб и Графинята на Грeл","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"КАПИТАН САБЛЕЗЪБ И ГРАФИНЯТА НА ГРЕЛ","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall"
"Коварен капан: Бягство от отвъдното","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"КОЙОТА срещу АКМЕ","30.8.2026; 4.9.2026; 5.9.2026; 6.9.2026; 7.9.2026; 8.9.2026; 9.9.2026; 10.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Краят на Оук Стрийт","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Куриерът","11.9.2026; 12.9.2026; 13.9.2026","Kino Arena - The Mall; Kino Arena - West Mall"
"Кучешките звезди","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Летен концерт на Андре Рийо през 2026 г.: &#039;Viva Maastricht!&#039;”","30.8.2026","Kino Arena - The Mall; Kino Arena - West Mall"
"Майкъл","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center"
"Миньони & чудовища","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center"
"Миньони &amp; чудовища","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","Kino Arena - The Mall; Kino Arena - West Mall"
"МИНЬОНИ И ЧУДОВИЩА","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall"
"Наследникът","11.9.2026; 12.9.2026; 13.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Одисея","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Пес Патрул: Дино филмът","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Приложна магия 2","9.9.2026; 11.9.2026; 12.9.2026; 13.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Само една нощ","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Смелата Ваяна","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Спа уикенд","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"Спайдър-мен: Нов ден","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall; Cinema City - Mall Of Sofia; Cinema City - Paradice Center; Kino Arena - The Mall; Kino Arena - West Mall"
"ТЕРМИНАТОР 2: СТРАШНИЯТ СЪД","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","CineGrand - Park Center; CineGrand - Sofia Ring Mall"
"Терминатор 2: Страшният съд (35 годишнина)","30.8.2026; 31.8.2026; 1.9.2026; 2.9.2026; 3.9.2026","Cinema City - Mall Of Sofia; Cinema City - Paradice Center"
